Fl_No,AIRCRAFT,DAY,MONTH,YEAR,FROM,TO,DEPARTURE,ARRIVAL,SEATS(E),SEATS(B),SEATS(F),AMT(E),AMT(B),AMT(F),A,B,C,D,E,F,G,H,I,J,K
KR201,KA2,17,Aug,23,Doha,San Francisco,2:00,20:10,0,1,1,140000,450000,550000,100A,000B,000C,000D,100E,000F,000G,000H,000I,000J,000K
KR202,KA2,17,Aug,23,San Francisco,Doha,1:00,9:00,0,1,0,143000,453000,555000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR203,KA2,18,Aug,23,Doha,San Francisco,2:00,20:10,1,0,1,145000,458000,556000,000A,100B,000C,000D,000E,000F,000G,000H,000I,100J,000K
KR204,KA2,18,Aug,23,San Francisco,Doha,1:00,9:00,1,0,1,139000,450000,550000,100A,000B,000C,000D,000E,000F,000G,000H,100I,000J,000K
KR205,KA2,19,Aug,23,Doha,San Francisco,2:00,20:10,0,1,0,147000,450000,551000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR206,KA2,19,Aug,23,San Francisco,Doha,1:00,9:00,0,0,0,140000,451000,550000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR207,KA2,20,Aug,23,Doha,San Francisco,2:00,20:10,0,0,0,140000,449000,550000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR208,KA2,20,Aug,23,San Francisco,Doha,1:00,9:00,1,0,0,141000,450000,554000,000A,000B,000C,000D,000E,000F,000G,000H,001I,000J,000K
KR209,KA2,21,Aug,23,Doha,San Francisco,2:00,20:10,0,0,1,140000,450000,550000,010A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR210,KA2,21,Aug,23,San Francisco,Doha,1:00,9:00,0,0,0,140000,456000,555000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
